# Paste VBA tblRatings data below
# Format expected: PlayerID, WeekNo, Rating (or whatever columns are in tblRatings)
# 
# This will help debug the rating calculation differences
#
# Also paste tblPlayerResult if available - it contains:
# PlayerResultID, FrameNo, WeekNo, MatchNo, PlayerID, Played (opponent), Result, EightBall
#

--- PASTE tblRatings DATA BELOW ---


--- PASTE tblPlayerResult DATA BELOW (if available) ---


ID	WeekNo	PlayerID	Rating
1	1	0	1000
2	1	1	1000
3	1	2	1000
4	1	3	1000
5	1	4	1000
6	1	5	1000
7	1	6	1000
8	1	7	1000
9	1	8	1000
10	1	9	1000
11	1	10	1000
12	1	11	1000
13	1	12	1000
14	1	13	1000
15	1	14	1000
16	1	15	1000
17	1	16	1000
18	1	17	1000
19	1	18	1000
20	1	19	1000
21	1	20	1000
22	1	21	1000
23	1	22	1000
24	1	23	1000
25	1	24	1000
26	1	25	1000
27	1	26	1000
28	1	27	1000
29	1	28	1000
30	1	29	1000
31	1	30	1000
32	1	31	1000
33	1	32	1000
34	1	33	1000
35	1	34	1000
36	1	35	1000
37	1	36	1000
38	1	37	1000
39	1	38	1000
40	1	39	1000
41	1	40	1000
42	1	41	1000
43	1	42	1000
44	1	43	1000
45	1	44	1000
46	1	45	1000
47	1	46	1000
48	1	47	1000
49	1	48	1000
50	1	49	1000
51	1	50	1000
52	1	51	1000
53	1	52	1000
54	1	53	1000
55	1	54	1000
56	1	55	1000
57	1	56	1000
58	1	57	1000
59	1	58	1000
60	1	59	1000
61	1	60	1000
62	1	61	1000
63	1	62	1000
64	1	63	1000
65	1	65	1000
66	1	66	1000
67	1	67	1000
68	1	68	1000
69	1	69	1000
70	1	70	1000
71	1	71	1000
72	1	72	1000
73	1	73	1000
74	1	74	1000
75	1	75	1000
76	1	76	1000
77	1	77	1000
78	1	78	1000
79	1	79	1000
80	1	80	1000
81	1	81	1000
82	1	82	1000
83	1	83	1000
84	1	84	1000
85	1	85	1000
86	1	86	1000
87	1	87	1000
88	1	88	1000
89	1	89	1000
90	1	90	1000
91	1	91	1000
92	1	92	1000
93	1	93	1000
94	1	94	1000
95	1	95	1000
96	1	96	1000
97	1	97	1000
98	1	98	1000
99	1	99	1000
100	1	100	1000
101	1	101	1000
102	1	102	1000
103	1	103	1000
104	1	104	1000
105	1	105	1000
106	1	106	1000
107	1	107	1000
108	1	108	1000
109	1	109	1000
110	1	110	1000
111	1	111	1000
112	1	112	1000
113	1	113	1000
114	1	114	1000
115	1	115	1000
116	1	116	1000
117	1	117	1000
118	1	118	1000
119	1	119	1000
120	1	120	1000
121	1	121	1000
122	1	122	1000
123	1	123	1000
124	1	124	1000
125	1	125	1000
126	1	126	1000
127	1	127	1000
128	2	2	931
129	2	3	764
130	2	4	1100
131	2	5	1103
132	2	6	937
133	2	7	937
134	2	9	934
135	2	10	931
136	2	11	1100
137	2	13	931
138	2	14	931
139	2	15	931
140	2	16	1106
141	2	19	1106
142	2	20	1273
143	2	21	1021
144	2	22	1021
145	2	23	764
146	2	24	764
147	2	27	1100
148	2	28	1106
149	2	31	934
150	2	32	1103
151	2	33	764
152	2	39	937
153	2	40	1100
154	2	42	1103
155	2	43	764
156	2	44	1306
157	2	45	1138
158	2	46	931
159	2	49	1103
160	2	51	1141
161	2	53	764
162	2	59	934
163	2	60	1273
164	2	61	1106
165	2	63	1106
166	2	65	1100
167	2	66	934
168	2	67	1273
169	2	72	1106
170	2	73	1103
171	2	75	764
172	2	77	1021
173	2	78	1016
174	2	81	1021
175	2	85	1021
176	2	86	1273
177	2	87	764
178	2	89	1273
179	2	90	1021
180	2	93	1273
181	2	95	764
182	2	96	764
183	2	97	1273
184	2	98	1016
185	2	99	1103
186	2	100	937
187	2	101	1103
188	2	102	931
189	2	103	764
190	2	104	931
191	2	105	1103
192	2	106	764
193	3	0	1021
194	3	1	1103
195	3	2	887
