# VBA tblplayerresult data
# Paste data below:

PlayerResultID	MatchNo	FrameNo	PlayerID	Played	Result	EightBall	OppRating	PlayerRating	WeekNo
124	5	2	103	67	0	0	1000	750	1
125	5	3	22	10	0	0	1000	750	1
126	5	3	10	22	-1	0	1000	1250	1
127	5	4	20	102	-1	0	1000	1250	1
128	5	4	102	20	0	0	1000	750	1
129	5	5	106	104	0	0	1000	750	1
130	5	5	104	106	-1	0	1000	1250	1
131	5	6	21	105	0	0	1000	750	1
132	5	6	105	21	-1	0	1000	1250	1
133	5	7	19	10	-1	0	1000	1250	1
134	5	7	10	19	0	0	1000	750	1
135	5	8	67	105	-1	0	1000	1250	1
136	5	8	105	67	0	0	1000	750	1
137	5	9	22	102	-1	0	1000	1250	1
138	5	9	102	22	0	0	1000	750	1
139	5	10	20	104	-1	0	1000	1250	1
140	5	10	104	20	0	0	1000	750	1
141	5	11	67	10	-1	0	1000	1250	1
142	5	11	10	67	0	0	1000	750	1
143	5	12	21	103	-1	0	1000	1250	1
144	5	12	103	21	0	0	1000	750	1
145	5	13	106	105	0	0	1000	750	1
146	5	13	105	106	-1	0	1000	1250	1
147	5	14	20	103	-1	0	1000	1250	1
148	5	14	103	20	0	0	1000	750	1
149	5	15	19	104	-1	0	1000	1250	1
150	5	15	104	19	0	0	1000	750	1
151	6	1	28	15	0	0	1000	750	1
152	6	1	15	28	-1	0	1000	1250	1
153	6	2	9	14	0	0	1000	750	1
154	6	2	14	9	-1	0	1000	1250	1
155	6	3	7	32	0	0	1000	750	1
156	6	3	32	7	-1	0	1000	1250	1
157	6	4	61	27	0	0	1000	750	1
158	6	4	27	61	-1	0	1000	1250	1
159	6	5	28	16	-1	0	1000	1250	1
160	6	5	16	28	0	0	1000	750	1
161	6	6	6	27	0	0	1000	750	1
162	6	6	27	6	-1	0	1000	1250	1
163	6	7	9	15	-1	0	1000	1250	1
164	6	7	15	9	0	0	1000	750	1
165	6	8	7	16	0	0	1000	750	1
166	6	8	16	7	-1	0	1000	1250	1
167	6	9	28	14	-1	0	1000	1250	1
168	6	9	14	28	0	0	1000	750	1
169	6	10	61	32	-1	0	1000	1250	1
170	6	10	32	61	0	0	1000	750	1
171	6	11	6	16	0	0	1000	750	1
172	6	11	16	6	-1	0	1000	1250	1
173	6	12	7	27	-1	0	1000	1250	1
174	6	12	27	7	0	0	1000	750	1
175	6	13	61	15	-1	0	1000	1250	1
176	6	13	15	61	0	0	1000	750	1
177	6	14	9	32	0	0	1000	750	1
178	6	14	32	9	-1	0	1000	1250	1
179	6	15	6	14	-1	0	1000	1250	1
180	6	15	14	6	0	0	1000	750	1
181	7	1	43	78	0	0	1016	762	2
182	7	1	78	43	-1	0	764	955	2
183	7	2	58	85	0	0	1021	766	2
184	7	2	85	58	-1	0	1000	1250	2
185	7	3	44	81	0	0	1021	766	2
186	7	3	81	44	-1	0	1306	1632	2
187	7	4	99	78	-1	0	1016	1270	2
188	7	4	78	99	0	0	1103	827	2
189	7	5	59	87	-1	0	764	955	2
190	7	5	87	59	0	0	934	700	2
191	7	6	43	77	-1	0	1021	1276	2
192	7	6	77	43	0	0	764	573	2
193	7	7	58	80	0	0	1000	750	2
194	7	7	80	58	-1	0	1000	1250	2
195	7	8	44	85	-1	0	1021	1276	2
196	7	8	85	44	0	0	1306	980	2
197	7	9	99	81	-1	0	1021	1276	2
198	7	9	81	99	0	0	1103	827	2
199	7	10	59	78	-1	-1	1016	1372	2
200	7	10	78	59	0	0	934	700	2
201	7	11	43	87	-1	0	764	955	2
202	7	11	87	43	0	0	764	573	2
203	7	12	58	78	-1	0	1016	1270	2
204	7	12	78	58	0	0	1000	750	2
205	7	13	44	80	-1	0	1000	1250	2
206	7	13	80	44	0	0	1306	980	2
207	7	14	99	77	-1	0	1021	1276	2
208	7	14	77	99	0	0	1103	827	2
209	7	15	59	81	-1	0	1021	1276	2
210	7	15	81	59	0	0	934	700	2
211	8	1	102	39	0	0	937	703	2
212	8	1	39	102	-1	0	931	1164	2
213	8	2	102	46	0	0	931	698	2
214	8	2	46	102	-1	0	931	1164	2
215	8	3	103	72	0	0	1106	830	2
216	8	3	72	103	-1	0	764	955	2
217	8	4	10	60	0	0	1273	955	2
218	8	4	60	10	-1	0	931	1164	2
219	8	5	102	72	0	0	1106	830	2
220	8	5	72	102	-1	0	931	1164	2
221	8	6	10	68	0	0	1000	750	2
222	8	6	68	10	-1	0	931	1164	2
223	8	7	103	46	0	0	931	698	2
224	8	7	46	103	-1	0	764	955	2
225	8	8	107	46	0	0	931	698	2
226	8	8	46	107	-1	0	1000	1250	2
227	8	9	107	72	0	0	1106	830	2
228	8	9	72	107	-1	0	1000	1250	2
229	8	10	10	39	0	0	937	703	2
230	8	10	39	10	-1	0	931	1164	2
231	8	11	103	60	0	0	1273	955	2
232	8	11	60	103	-1	0	764	955	2
233	8	12	107	68	0	0	1000	750	2
234	8	12	68	107	-1	0	1000	1250	2
235	8	13	0	0	0	0	1000	750	2
236	8	13	0	0	-1	0	1000	1250	2
237	8	14	0	0	0	0	1000	750	2
238	8	14	0	0	-1	0	1000	1250	2
239	8	15	0	0	0	0	1000	750	2
240	8	15	0	0	-1	0	1000	1250	2
241	9	1	89	9	0	0	934	700	2
242	9	1	9	89	-1	0	1273	1591	2
243	9	2	65	7	0	0	937	703	2
244	9	2	7	65	-1	0	1100	1375	2
245	9	3	23	28	0	0	1106	830	2
246	9	3	28	23	-1	0	764	955	2
247	9	4	66	6	0	0	937	703	2
248	9	4	6	66	-1	0	934	1168	2
249	9	5	26	61	-1	0	1106	1382	2
250	9	5	61	26	0	0	1000	750	2
251	9	6	34	7	0	0	937	703	2
252	9	6	7	34	-1	0	1000	1250	2
253	9	7	65	28	-1	0	1106	1382	2
254	9	7	28	65	0	0	1100	825	2
255	9	8	23	9	-1	0	934	1168	2
256	9	8	9	23	0	0	764	573	2
257	9	9	66	61	0	0	1106	830	2
258	9	9	61	66	-1	0	934	1168	2
259	9	10	89	6	0	0	937	703	2
260	9	10	6	89	-1	0	1273	1591	2
261	9	11	26	28	0	0	1106	830	2
262	9	11	28	26	-1	0	1000	1250	2
263	9	12	65	61	0	0	1106	830	2
264	9	12	61	65	-1	0	1100	1375	2
265	9	13	34	9	0	0	934	700	2
266	9	13	9	34	-1	0	1000	1250	2
267	9	14	89	7	-1	0	937	1171	2
268	9	14	7	89	0	0	1273	955	2
269	9	15	23	6	0	0	937	703	2
270	9	15	6	23	-1	0	764	955	2
271	10	1	49	93	0	0	1273	955	2
272	10	1	93	49	-1	0	1103	1379	2
273	10	2	42	95	-1	0	764	955	2
274	10	2	95	42	0	0	1103	827	2
275	10	3	41	97	-1	0	1273	1591	2
276	10	3	97	41	0	0	1000	750	2
277	10	4	51	108	0	0	1000	750	2
278	10	4	108	51	-1	0	1141	1426	2
279	10	5	40	53	-1	0	764	955	2
280	10	5	53	40	0	0	1100	825	2
281	10	6	49	95	0	0	764	573	2
282	10	6	95	49	-1	0	1103	1379	2
283	10	7	42	93	0	0	1273	955	2
284	10	7	93	42	-1	0	1103	1379	2
285	10	8	41	108	-1	0	1000	1250	2
286	10	8	108	41	0	0	1000	750	2
287	10	9	51	53	-1	0	764	955	2
288	10	9	53	51	0	0	1141	856	2
289	10	10	40	97	0	0	1273	955	2
290	10	10	97	40	-1	0	1100	1375	2
291	10	11	49	97	-1	0	1273	1591	2
292	10	11	97	49	0	0	1103	827	2
293	10	12	42	53	0	0	764	573	2
294	10	12	53	42	-1	0	1103	1379	2
295	10	13	41	93	0	0	1273	955	2
296	10	13	93	41	-1	0	1000	1250	2
297	10	14	51	95	-1	0	764	955	2
298	10	14	95	51	0	0	1141	856	2
299	10	15	40	108	-1	0	1000	1250	2
300	10	15	108	40	0	0	1100	825	2
301	11	1	14	29	0	0	1000	750	2
302	11	1	29	14	-1	0	931	1164	2
303	11	2	18	11	0	0	1100	825	2
304	11	2	11	18	-1	0	1000	1250	2
305	11	3	15	29	0	0	1000	750	2
306	11	3	29	15	-1	0	931	1164	2
307	11	4	17	12	0	0	1000	750	2
308	11	4	12	17	-1	0	1000	1250	2
309	11	5	27	30	0	0	1000	750	2
310	11	5	30	27	-1	0	1100	1375	2
311	11	6	16	31	0	0	934	700	2
312	11	6	31	16	-1	0	1106	1382	2
313	11	7	14	13	0	0	931	698	2
314	11	7	13	14	-1	0	931	1164	2
315	11	8	18	101	0	0	1103	827	2
316	11	8	101	18	-1	0	1000	1250	2
317	11	9	15	11	0	0	1100	825	2
318	11	9	11	15	-1	0	931	1164	2
319	11	10	17	30	-1	0	1000	1250	2
320	11	10	30	17	0	0	1000	750	2
321	11	11	27	12	-1	0	1000	1250	2
322	11	11	12	27	0	0	1100	825	2
323	11	12	16	101	0	0	1103	827	2
324	11	12	101	16	-1	0	1106	1382	2
325	11	13	17	31	0	0	934	700	2
326	11	13	31	17	-1	0	1000	1250	2
327	11	14	18	13	0	0	931	698	2
328	11	14	13	18	-1	0	1000	1250	2
329	11	15	14	11	0	0	1100	825	2
330	11	15	11	14	-1	0	931	1164	2
331	12	1	2	83	0	0	1000	750	2
332	12	1	83	2	-1	0	931	1164	2
333	12	2	1	62	-1	0	1000	1250	2
334	12	2	62	1	0	0	1000	750	2
335	12	3	63	38	0	0	1000	750	2
336	12	3	38	63	-1	0	1106	1382	2
337	12	4	4	35	0	0	1000	750	2
338	12	4	35	4	-1	0	1100	1375	2
339	12	5	3	48	-1	0	1000	1250	2
340	12	5	48	3	0	0	764	573	2
341	12	6	2	88	0	0	1000	750	2
342	12	6	88	2	-1	0	931	1164	2
343	12	7	1	54	0	0	1000	750	2
344	12	7	54	1	-1	0	1000	1250	2
345	12	8	63	83	-1	0	1000	1250	2
346	12	8	83	63	0	0	1106	830	2
347	12	9	4	62	0	0	1000	750	2
